时段,起(h),电价,负载kW,光伏kW,购电量kWh,充电量kWh,放电量kWh,弃光kWh,储电量kWh
75,12.333333333333334,0.4463,5485.829,7554.1872,581.1995592592592,925.9259259259259,0.0,0.0,8310.45876666667
76,12.5,0.4113,5462.3628,7472.7384,590.8633259259258,925.9259259259259,0.0,0.0,9143.792100000004
77,12.666666666666666,0.5682,5566.1066,7393.4172,0.0,304.5517666666665,0.0,0.0,9417.888690000003
78,12.833333333333334,0.8279,5725.7548,7312.7979,0.0,264.5071833333334,0.0,0.0,9655.945155000003
79,13.0,0.8636,5739.4957,7194.541,0.0,242.50754999999992,0.0,0.0,9874.201950000002
80,13.166666666666666,0.8416,5714.6836,7053.1371,0.0,223.07558333333313,0.0,0.0,10074.969975000002
81,13.333333333333334,0.8618,5717.8505,6910.4064,0.0,198.75931666666654,0.0,0.0,10253.853360000001
82,13.5,0.8623,5708.2486,6772.4075,0.0,177.3598166666668,0.0,0.0,10413.477195000001
83,13.666666666666666,0.9026,5696.9182,6607.36,0.0,151.74029999999982,0.0,0.0,10550.043465
84,13.833333333333334,0.9754,5692.2983,6412.5085,0.0,120.0350333333331,0.0,0.0,10658.074995
85,14.0,1.0002,5687.1291,6214.0158,0.0,87.81445000000008,0.0,0.0,10737.108
86,14.166666666666666,0.9978,5678.962,6000.7112,0.0,53.62486666666655,0.0,0.0,10785.37038
87,14.333333333333334,1.0271,5669.4508,5766.9816,0.0,16.255133333333447,0.0,0.0,10800.0
88,14.5,1.0906,5664.1948,5521.5066,0.0,0.0,23.781366666666713,0.0,10773.57625925926
89,14.666666666666666,0.9376,5672.7011,5268.781,0.0,0.0,67.32001666666679,0.0,10698.77624074074
90,14.833333333333334,0.6694,5682.2544,5009.7152,112.0898666666667,0.0,0.0,0.0,10698.77624074074
91,15.0,0.66,5669.0195,4743.4484,266.73269362139905,112.47084362139907,0.0,0.0,10800.0
92,15.166666666666666,0.7217,5656.3651,4471.224,197.52351666666664,0.0,0.0,0.0,10800.0
93,15.333333333333334,0.7308,5657.0867,4188.2025,244.8140333333332,0.0,0.0,0.0,10800.0
94,15.5,0.7534,5662.6008,3889.3931,295.5346166666667,0.0,0.0,0.0,10800.0
95,15.666666666666666,0.7823,5669.2596,3594.5946,345.77750000000015,0.0,0.0,0.0,10800.0
96,15.833333333333334,0.8055,5673.4767,3303.8878,394.9314833333333,0.0,0.0,0.0,10800.0
97,16.0,0.8271,5671.0146,2998.4247,445.4316500000001,0.0,-0.0,0.0,10800.0
98,16.166666666666668,0.8519,5661.5926,2687.4131,495.69658333333325,0.0,0.0,0.0,10800.0
99,16.333333333333332,0.8791,5665.8922,2383.1779,547.11905,0.0,0.0,0.0,10800.0
100,16.5,0.9024,5689.0372,2089.1246,599.9854333333333,0.0,-0.0,0.0,10800.0
101,16.666666666666668,0.9163,5603.6614,1791.0829,635.4297499999999,0.0,-0.0,0.0,10800.0
102,16.833333333333332,0.9264,5466.7124,1501.7283,660.8306833333334,0.0,-0.0,0.0,10800.0
103,17.0,0.9462,5467.3939,1255.1723,702.0369333333333,0.0,-0.0,0.0,10800.0
104,17.166666666666668,0.9742,5464.727,1036.3323,738.0657833333333,0.0,-0.0,0.0,10800.0
105,17.333333333333332,0.9862,5492.4458,836.7775,775.9447166666666,0.0,0.0,0.0,10800.0
106,17.5,0.976,5621.7308,665.2313,826.08325,-0.0,0.0,0.0,10800.0
107,17.666666666666668,1.0742,5091.2126,516.6758,762.4227999999999,0.0,0.0,0.0,10800.0
108,17.833333333333332,1.2313,4208.5688,386.6731,636.9826166666667,0.0,-0.0,0.0,10800.0
109,18.0,1.2561,4122.7611,275.7933,531.8940499999998,0.0,109.26725000000006,0.0,10678.591944444444
110,18.166666666666668,1.2447,4255.9358,182.9526,678.8305333333333,0.0,0.0,0.0,10678.591944444444
111,18.333333333333332,1.2545,4225.9524,108.3414,686.2684999999999,0.0,0.0,0.0,10678.591944444444
112,18.5,1.2522,4233.3384,54.3121,696.5043833333333,0.0,0.0,0.0,10678.591944444444
113,18.666666666666668,1.2881,4246.4625,18.6569,0.0,0.0,704.6342666666666,0.0,9895.664981481481
114,18.833333333333332,1.3466,4239.1795,0.2753,0.0,0.0,706.4840333333333,0.0,9110.682722222222
115,19.0,1.3523,4244.6684,0.2296,0.0,0.0,707.4064666666666,0.0,8324.675537037037
116,19.166666666666668,1.3445,4251.9187,0.6007,0.0,0.0,708.553,0.0,7537.394425925927
117,19.333333333333332,1.3483,4256.6813,0.0,0.0,0.0,709.4468833333333,0.0,6749.120111111112
118,19.5,1.349,4267.3947,0.0,0.0,0.0,711.23245,0.0,5958.861833333334
119,19.666666666666668,1.3473,4269.975,0.0,0.0,0.0,711.6625,0.0,5168.125722222223
120,19.833333333333332,1.3482,4268.6702,0.0,0.0,0.0,711.4450333333332,0.0,4377.631240740741
121,20.0,1.3513,4282.2245,0.0,0.0,0.0,713.7040833333333,0.0,3584.626703703704
122,20.166666666666668,1.34,4291.7049,0.0,0.0,0.0,715.28415,0.0,2789.8665370370372
123,20.333333333333332,1.3489,4291.3611,0.0,0.0,0.0,715.22685,0.0,1995.170037037037
124,20.5,1.3952,4293.9182,0.0,0.0,0.0,715.6530333333333,0.0,1200.0
125,20.666666666666668,1.2226,4295.2135,0.0,715.8689166666666,0.0,0.0,0.0,1200.0
126,20.833333333333332,0.9332,4302.0307,0.0,717.0051166666667,0.0,0.0,0.0,1200.0
127,21.0,0.9068,4320.9618,0.0,720.1603,0.0,0.0,0.0,1200.0
128,21.166666666666668,0.9371,4302.3292,0.0,717.0548666666666,0.0,0.0,0.0,1200.0
129,21.333333333333332,0.9371,4322.6758,0.0,720.4459666666667,0.0,0.0,0.0,1200.0
130,21.5,0.9871,4428.8083,0.0,738.1347166666666,0.0,-0.0,0.0,1200.0
131,21.666666666666668,0.7764,4030.1614,0.0,671.6935666666666,-0.0,0.0,0.0,1200.0
132,21.833333333333332,0.4209,3362.7419,0.0,1486.3829092592591,925.9259259259259,0.0,0.0,2033.3333333333333
133,22.0,0.3859,3309.3934,0.0,1477.4914925925925,925.9259259259259,0.0,0.0,2866.6666666666665
134,22.166666666666668,0.4368,3412.9563,0.0,568.8260499999999,0.0,0.0,0.0,2866.6666666666665
135,22.333333333333332,0.4198,3381.9313,0.0,1489.5811425925926,925.9259259259259,0.0,0.0,3700.0
136,22.5,0.4186,3386.5592,0.0,1490.3524592592591,925.9259259259259,0.0,0.0,4533.333333333333
137,22.666666666666668,0.4241,3400.4846,0.0,566.7474333333332,0.0,0.0,0.0,4533.333333333333
138,22.833333333333332,0.4237,3399.2426,0.0,1270.2441370370377,703.7037037037044,0.0,0.0,5166.666666666667
139,23.0,0.4248,3406.9809,0.0,567.83015,0.0,0.0,0.0,5166.666666666667
140,23.166666666666668,0.424,3416.1518,0.0,569.3586333333333,0.0,0.0,0.0,5166.666666666667
141,23.333333333333332,0.422,3421.9811,0.0,1496.2561092592591,925.9259259259259,0.0,0.0,6000.0
142,23.5,0.424,3429.6923,0.0,571.6153833333333,0.0,0.0,0.0,6000.0
143,23.666666666666668,0.4271,3439.061,0.0,573.1768333333333,0.0,0.0,0.0,6000.0
144,23.833333333333332,0.4276,3444.7259,0.0,574.1209833333332,0.0,0.0,0.0,6000.0
